N,H1,H0,T1,T2,T3,T4 (max run),T5,T6(0),T8,K[+],K[-],Kdiff,PValue,Evalue,Keys,LCC Volts,Error
2655,0.9994182,1.0415656,10284,110.98240,130,14,2497,0.01420,2.81455,4.74342,3.00416,1.73925,0.85419,30.72000,12,1.655,02
2656,0.9995563,1.0362300,10248,48.30080,130,15,2498,0.01240,2.81697,4.26907,1.89737,2.37171,0.99872,18.29600,12,1.655,00
2657,0.9995048,1.0383026,10262,68.82560,117,11,2497,0.01310,2.81148,4.26907,2.05548,2.21359,0.98875,22.43200,12,1.656,02
2658,0.9989028,1.0573917,10390,88.17920,125,14,2498,0.01950,2.80428,5.37587,2.52982,2.84605,0.64985,36.02400,12,1.654,23
2659,0.9995880,1.0348991,10239,54.70720,114,11,2497,0.01195,2.80938,5.05964,2.21359,2.84605,0.97152,24.79600,12,1.664,00
2660,0.9996184,1.0335695,10230,68.32000,112,15,2499,0.01150,2.80862,4.26907,1.58114,2.68794,0.99328,21.30400,12,1.662,02
2661,0.9993377,1.0443896,10303,60.00000,118,14,2498,0.01515,2.81421,5.21776,2.84605,2.37171,0.86201,30.46000,12,1.662,02
2662,0.9994663,1.0397849,10272,65.17120,126,12,2498,0.01360,2.81377,3.79473,3.32039,0.47434,0.96455,25.43200,12,1.660,02
2663,0.9993246,1.0448360,10306,60.27520,115,14,2497,0.01530,2.81472,4.90153,3.16228,1.73925,0.94959,26.53600,12,1.659,02
2664,0.9991062,1.0516982,10352,88.32640,121,15,2494,0.01760,2.81070,4.74342,1.73925,3.00416,0.92672,27.84000,12,1.660,23
2665,0.9993023,1.0455803,10311,50.56640,123,15,2498,0.01555,2.80302,4.11096,3.32039,0.79057,0.94125,27.05200,12,1.660,00
2666,0.9994058,1.0420111,10287,73.56160,105,13,2496,0.01435,2.81400,4.58530,2.37171,2.21359,0.97633,24.28400,12,1.670,02
2667,0.9986724,1.0632584,10429,82.26560,111,12,2495,0.02145,2.80944,5.37587,1.58114,3.79473,0.80676,32.15600,12,1.671,23
2668,0.9990960,1.0519973,10354,56.82560,122,12,2495,0.01770,2.81212,4.90153,1.26491,3.63662,0.98010,23.82400,12,1.671,21
2669,0.9992888,1.0460271,10314,79.66080,129,12,2497,0.01570,2.81441,3.63662,1.89737,1.73925,0.99486,20.76000,12,1.671,02
2670,0.9988688,1.0582927,10396,72.36480,119,14,2492,0.01980,2.80889,4.42719,1.58114,2.84605,0.93243,27.54400,12,1.672,23
2671,0.9988972,1.0575418,10391,99.54560,108,15,2496,0.01955,2.80868,6.32456,1.10680,5.21776,0.91564,28.37200,12,1.672,23
2672,0.9992334,1.0478156,10326,74.91840,130,13,2496,0.01630,2.80028,4.58530,2.05548,2.52982,0.97016,24.92800,12,1.672,02
2673,0.9988516,1.0587434,10399,74.09280,118,14,2496,0.01995,2.81284,6.00833,1.89737,4.11096,0.67953,35.34800,12,1.672,23
2674,0.9992613,1.0469210,10320,77.54880,105,12,2497,0.01600,2.81088,4.58530,2.21359,2.37171,0.91746,28.28800,12,1.662,02
2675,0.9991214,1.0512497,10349,60.45440,128,14,2497,0.01745,2.81021,5.85021,2.21359,3.63662,0.93777,27.25200,12,1.672,23
2676,0.9989638,1.0557412,10379,79.01440,113,15,2495,0.01895,2.81210,5.05964,1.89737,3.16228,0.90513,28.83600,12,1.682,23
2677,0.9983930,1.0697547,10472,69.60640,136,14,2496,0.02360,2.81276,4.74342,2.52982,2.21359,0.44208,40.64000,12,1.680,23
2678,0.9988401,1.0590440,10401,71.04640,125,20,2494,0.02005,2.80795,4.42719,1.73925,2.68794,0.86623,30.31600,12,1.681,23
2679,0.9990547,1.0531943,10362,95.50080,100,12,2495,0.01810,2.81580,5.37587,1.89737,3.47851,0.94077,27.08000,12,1.691,23
2680,0.9992287,1.0479647,10327,74.15040,112,15,2497,0.01635,2.81104,4.74342,2.05548,2.68794,0.91976,28.18000,12,1.692,02
2681,0.9980645,1.0767367,10518,96.10240,126,14,2494,0.02590,2.81863,5.69210,0.63246,5.05964,0.62016,36.68800,12,1.691,23
2682,0.9976973,1.0839056,10565,102.64960,116,14,2492,0.02825,2.81166,6.00833,0.63246,5.37587,0.17461,48.22000,12,1.691,23
2683,0.9986538,1.0637107,10432,69.51680,133,15,2490,0.02160,2.80539,4.74342,1.26491,3.47851,0.81001,32.06400,12,1.691,23
2684,0.9979966,1.0781067,10527,107.37280,123,13,2491,0.02635,2.80915,6.48267,2.84605,3.63662,0.15274,49.12400,12,1.692,23
2685,0.9982468,1.0729379,10493,91.51360,116,14,2493,0.02465,2.81504,6.64078,1.42302,5.21776,0.33021,43.35600,12,1.693,23
2686,0.9989474,1.0561912,10382,77.84960,113,12,2494,0.01910,2.80160,6.95701,1.73925,5.21776,0.81197,32.00800,12,1.683,23
2687,0.9986413,1.0640123,10434,111.00800,112,14,2496,0.02170,2.81113,4.26907,1.10680,3.16228,0.88480,29.64800,12,1.683,23
2688,0.9992428,1.0475173,10324,94.34240,121,12,2498,0.01620,2.81389,4.26907,2.52982,1.73925,0.98337,23.36800,12,1.683,02
2689,0.9990071,1.0545421,10371,80.63360,115,14,2497,0.01855,2.80719,3.79473,1.10680,2.68794,0.97654,24.26000,12,1.683,23
2690,0.9982892,1.0720277,10487,101.44640,110,12,2490,0.02435,2.81176,5.05964,2.52982,2.52982,0.36807,42.39600,12,1.682,23
2691,0.9988168,1.0596453,10405,73.19680,130,12,2493,0.02025,2.80454,3.63662,1.10680,2.52982,0.94459,26.85200,12,1.681,23
2692,0.9988745,1.0581425,10395,77.47840,109,13,2493,0.01975,2.80861,4.42719,1.89737,2.52982,0.79437,32.50000,12,1.680,23
2693,0.9992334,1.0478156,10326,82.48960,114,16,2498,0.01630,2.80862,5.37587,3.00416,2.37171,0.74634,33.75200,12,1.680,02
2694,0.9989363,1.0564912,10384,71.66080,131,12,2497,0.01920,2.81389,4.90153,1.58114,3.32039,0.69385,35.01600,12,1.670,23
2695,0.9991612,1.0500543,10341,95.11680,101,14,2497,0.01705,2.81165,5.85021,1.58114,4.26907,0.86271,30.43600,12,1.671,02
2696,0.9990755,1.0525957,10358,81.76000,100,16,2496,0.01790,2.81215,4.74342,1.73925,3.00416,0.88670,29.57600,12,1.671,23
2697,0.9988110,1.0597957,10406,80.71680,99,13,2494,0.02030,2.80935,4.11096,0.79057,3.32039,0.95798,25.95200,12,1.670,23
2698,0.9991163,1.0513992,10350,68.19840,122,13,2498,0.01750,2.81236,5.21776,3.16228,2.05548,0.57446,37.69600,12,1.670,23
2699,0.9995776,1.0353426,10242,86.66880,118,12,2495,0.01210,2.81211,5.53399,3.79473,1.73925,0.96846,25.08800,12,1.670,02
2700,0.9995161,1.0378582,10259,57.65120,114,12,2494,0.01295,2.81303,4.90153,2.37171,2.52982,0.99671,19.90800,12,1.670,02
2701,0.9994584,1.0400815,10274,50.27200,112,14,2496,0.01370,2.80344,4.74342,2.37171,2.37171,0.96949,24.99200,12,1.671,00
2702,0.9992334,1.0478156,10326,94.43840,107,14,2496,0.01630,2.81077,4.74342,2.37171,2.37171,0.97692,24.21600,12,1.681,02
2703,0.9985716,1.0656722,10445,78.16960,109,12,2495,0.02225,2.81060,4.58530,3.63662,0.94868,0.58301,37.50800,12,1.691,23
