N,H1,H0,T1,T2,T3,T4 (max run),T5,T6(0),T8,K[+],K[-],Kdiff,PValue,Evalue,Keys,LCC Volts,Error
897,0.9993722,1.0431999,10295,75.66080,113,16,2497,0.01475,2.80719,5.21776,2.68794,2.52982,0.98438,23.21200,12,1.661,02
898,0.9994223,1.0414171,10283,85.88160,127,13,2498,0.01415,2.80420,4.58530,1.89737,2.68794,0.97505,24.42800,12,1.661,02
899,0.9993201,1.0449848,10307,50.88640,106,14,2497,0.01535,2.79776,5.05964,1.42302,3.63662,0.96815,25.11600,12,1.651,00
900,0.9993551,1.0437946,10299,95.71840,129,12,2499,0.01495,2.80223,3.32039,1.58114,1.73925,0.99783,19.17200,12,1.650,02
901,0.9994058,1.0420111,10287,83.04640,118,12,2498,0.01435,2.79052,4.58530,2.84605,1.73925,0.98547,23.03600,12,1.649,02
902,0.9988110,1.0597957,10406,83.07840,121,13,2497,0.02030,2.80201,4.74342,1.42302,3.32039,0.64488,36.13600,12,1.647,23
903,0.9995124,1.0380063,10260,55.30240,135,17,2497,0.01300,2.80771,5.05964,6.48267,1.42302,0.74634,33.75200,12,1.648,00
904,0.9997115,1.0291463,10200,64.01920,109,12,2497,0.01000,2.80713,4.58530,2.05548,2.52982,0.99739,19.49600,12,1.638,02
905,0.9998462,1.0212186,10146,41.03040,112,14,2499,0.00730,2.79923,4.90153,2.84605,2.05548,0.99895,17.98400,12,1.637,00
906,0.9999515,1.0118789,10082,48.90240,108,12,2499,0.00410,2.81215,4.58530,3.00416,1.58114,0.98786,22.60800,12,1.636,00
907,0.9998060,1.0238564,10164,50.66880,115,11,2499,0.00820,2.80814,2.68794,2.21359,0.47434,1.00000,9.83200,12,1.626,00
908,0.9997663,1.0262051,10180,65.14560,108,16,2499,0.00900,2.80222,3.47851,2.21359,1.26491,0.99789,19.12000,12,1.625,02
909,0.9993975,1.0423082,10289,96.65920,123,22,2497,0.01445,2.80341,4.90153,2.68794,2.21359,0.96469,25.42000,12,1.627,02
910,0.9998199,1.0229766,10158,67.30880,108,14,2499,0.00790,2.80140,5.05964,2.21359,2.84605,0.98559,23.01600,12,1.626,02
911,0.9999111,1.0161035,10111,60.77440,111,14,2499,0.00555,2.80622,4.26907,3.95285,0.31623,0.99955,16.77200,12,1.625,02
912,0.9997504,1.0270868,10186,75.17440,118,12,2497,0.00930,2.80359,3.63662,1.89737,1.73925,0.99910,17.76000,12,1.627,02
913,0.9998222,1.0228300,10157,64.13440,108,13,2499,0.00785,2.80109,6.64078,3.95285,2.68794,0.95684,26.03600,12,1.627,02
914,0.9999527,1.0117334,10081,55.82080,128,16,2499,0.00405,2.79658,3.32039,5.21776,1.89737,0.99657,19.98800,12,1.637,00
915,0.9994819,1.0391918,10268,45.01760,131,14,2498,0.01340,2.79929,3.79473,1.42302,2.37171,0.99628,20.13600,12,1.638,00
916,0.9999111,1.0161035,10111,59.72480,101,12,2499,0.00555,2.80404,3.79473,3.16228,0.63246,0.99637,20.09200,12,1.638,02
917,0.9995309,1.0372659,10255,84.37120,130,12,2498,0.01275,2.80298,4.90153,2.68794,2.21359,0.98230,23.52400,12,1.638,02
918,0.9997341,1.0279691,10192,56.41600,106,13,2499,0.00960,2.78634,4.58530,2.37171,2.21359,0.99710,19.68000,12,1.638,00
919,0.9993508,1.0439433,10300,63.71840,129,11,2498,0.01500,2.80544,4.11096,3.00416,1.10680,0.97025,24.92000,12,1.638,02
920,0.9993113,1.0452826,10309,77.11360,121,12,2498,0.01545,2.80588,3.95285,2.84605,1.10680,0.97239,24.70800,12,1.637,02
921,0.9996445,1.0323887,10222,42.18880,129,13,2497,0.01110,2.80613,4.11096,2.52982,1.58114,0.97910,23.95200,12,1.636,00
922,0.9998441,1.0213650,10147,59.94880,143,11,2499,0.00735,2.80522,3.63662,3.63662,0.00000,0.99908,17.78800,12,1.636,02
923,0.9995236,1.0375620,10257,69.08160,124,11,2497,0.01285,2.79427,5.37587,1.26491,4.11096,0.99561,20.45200,12,1.638,02
924,0.9995563,1.0362300,10248,38.09280,112,13,2497,0.01240,2.80103,4.11096,2.68794,1.42302,0.99789,19.12000,12,1.639,00
925,0.9997940,1.0245899,10169,68.16000,104,15,2498,0.00845,2.80521,4.11096,3.47851,0.63246,0.93917,27.17200,12,1.641,02
926,0.9995845,1.0350469,10240,63.52000,132,12,2496,0.01200,2.80002,3.63662,2.68794,0.94868,0.99573,20.40000,12,1.643,02
927,0.9997396,1.0276750,10190,78.86720,122,17,2498,0.00950,2.81301,3.79473,1.58114,2.21359,0.99994,14.35200,12,1.643,02
928,0.9994896,1.0388953,10266,75.12960,121,14,2498,0.01330,2.79567,4.42719,3.00416,1.42302,0.95500,26.16800,12,1.643,02
929,0.9998199,1.0229766,10158,75.51360,125,16,2498,0.00790,2.80286,3.16228,1.73925,1.42302,1.00000,11.23200,12,1.642,02
930,0.9996758,1.0309140,10212,78.15680,121,14,2499,0.01060,2.81223,3.95285,2.84605,1.10680,0.99091,21.95200,12,1.643,02
931,0.9997229,1.0285576,10196,74.24000,132,12,2498,0.00980,2.81228,4.42719,2.68794,1.73925,0.98624,22.90400,12,1.644,02
932,0.9997115,1.0291463,10200,50.23360,120,14,2499,0.01000,2.80899,3.79473,1.42302,2.37171,0.99977,15.89600,12,1.645,00
933,0.9996849,1.0304719,10209,55.21280,92,12,2497,0.01045,2.79329,5.21776,3.63662,1.58114,0.97612,24.30800,12,1.646,00
934,0.9998483,1.0210722,10145,64.82560,112,13,2497,0.00725,2.81028,6.00833,2.37171,3.63662,0.98979,22.21200,12,1.656,02
935,0.9996634,1.0315037,10216,63.60320,116,13,2497,0.01080,2.80695,4.11096,2.05548,2.05548,0.99965,16.43200,12,1.655,02
936,0.9996283,1.0331266,10227,49.22240,126,13,2499,0.01135,2.79542,3.79473,5.05964,1.26491,0.92193,28.07600,12,1.655,00
937,0.9995011,1.0384508,10263,70.92480,125,13,2499,0.01315,2.81750,5.37587,2.05548,3.32039,0.97964,23.88400,12,1.655,02
938,0.9991710,1.0497556,10339,72.19200,119,12,2496,0.01695,2.80686,5.37587,2.21359,3.16228,0.76200,33.35600,12,1.656,02
939,0.9993465,1.0440921,10301,63.98080,113,15,2496,0.01505,2.81116,5.05964,3.16228,1.89737,0.76387,33.30800,12,1.655,02
940,0.9992888,1.0460271,10314,81.76000,125,18,2495,0.01570,2.79913,4.42719,1.89737,2.52982,0.98606,22.93600,12,1.655,02
941,0.9990495,1.0533440,10363,67.21280,117,15,2498,0.01815,2.81480,6.00833,3.32039,2.68794,0.72003,34.39600,12,1.654,23
942,0.9988343,1.0591943,10402,61.89440,136,13,2495,0.02010,2.80077,5.05964,1.73925,3.32039,0.75840,33.44800,12,1.664,23
943,0.9994058,1.0420111,10287,81.36320,127,13,2495,0.01435,2.79888,4.58530,3.47851,1.10680,0.95706,26.02000,12,1.665,02
944,0.9989693,1.0555913,10378,60.59520,125,13,2496,0.01890,2.80848,5.21776,2.68794,2.52982,0.84877,30.89600,12,1.665,23
945,0.9990284,1.0539429,10367,81.09440,116,14,2497,0.01835,2.80562,4.26907,1.89737,2.37171,0.91512,28.39600,12,1.664,23
946,0.9987636,1.0609992,10414,95.81440,104,15,2496,0.02070,2.80002,4.74342,1.26491,3.47851,0.78417,32.77600,12,1.654,23
947,0.9992474,1.0473682,10323,62.79040,127,14,2492,0.01615,2.80351,6.32456,3.47851,2.84605,0.46263,40.17200,12,1.652,02
948,0.9992751,1.0464740,10317,89.63200,118,12,2493,0.01585,2.80311,4.74342,1.89737,2.84605,0.91012,28.62000,12,1.652,02
949,0.9997229,1.0285576,10196,79.41760,126,13,2499,0.00980,2.79718,4.42719,2.52982,1.89737,0.99297,21.40000,12,1.650,02
950,0.9994702,1.0396366,10271,73.02400,106,14,2498,0.01355,2.81357,5.21776,3.79473,1.42302,0.67814,35.38000,12,1.649,02
951,0.9996477,1.0322412,10221,79.37920,125,14,2498,0.01105,2.81069,5.05964,3.32039,1.73925,0.99802,19.01200,12,1.648,02
952,0.9997504,1.0270868,10186,78.93760,130,15,2497,0.00930,2.79626,4.74342,3.47851,1.26491,0.99213,21.64000,12,1.648,02
953,0.9993246,1.0448360,10306,69.59360,127,19,2495,0.01530,2.80225,3.63662,2.68794,0.94868,0.91556,28.37600,12,1.648,02
954,0.9996969,1.0298826,10205,41.24800,127,11,2499,0.01025,2.81560,3.95285,3.16228,0.79057,0.99317,21.34000,12,1.646,00
955,0.9994182,1.0415656,10284,67.53920,112,13,2498,0.01420,2.80453,4.74342,3.16228,1.58114,0.91166,28.55200,12,1.646,02
956,0.9992751,1.0464740,10317,64.92160,124,21,2497,0.01585,2.79913,4.90153,2.21359,2.68794,0.93340,27.49200,12,1.648,02
957,0.9996151,1.0337172,10231,57.22240,129,13,2498,0.01155,2.80196,3.63662,5.69210,2.05548,0.97497,24.43600,12,1.647,00
958,0.9997229,1.0285576,10196,65.65760,126,13,2497,0.00980,2.81592,5.37587,4.26907,1.10680,0.97658,24.25600,12,1.648,02
959,0.9993508,1.0439433,10300,79.65440,110,15,2497,0.01500,2.80210,5.21776,1.89737,3.32039,0.85371,30.73600,12,1.648,02
960,0.9989141,1.0570914,10388,70.08000,132,14,2496,0.01940,2.80375,4.58530,2.52982,2.05548,0.87832,29.88800,12,1.648,23
961,0.9996050,1.0341603,10234,63.85280,115,16,2497,0.01170,2.79883,3.79473,3.95285,0.15811,0.99786,19.14400,12,1.648,02
962,0.9994972,1.0385989,10264,67.09760,127,15,2499,0.01320,2.80497,3.47851,2.37171,1.10680,0.99792,19.09600,12,1.646,02
963,0.9999159,1.0156659,10108,35.89120,128,14,2499,0.00540,2.80832,3.95285,2.21359,1.73925,0.99968,16.31200,12,1.644,00
964,0.9995124,1.0380063,10260,76.52480,124,12,2497,0.01300,2.81263,4.26907,1.73925,2.52982,0.99698,19.75200,12,1.643,02
965,0.9995776,1.0353426,10242,86.45120,93,13,2498,0.01210,2.79713,4.26907,1.89737,2.37171,0.99801,19.02400,12,1.643,02
966,0.9991612,1.0500543,10341,74.48320,94,13,2496,0.01705,2.80139,4.26907,2.05548,2.21359,0.98468,23.16400,12,1.643,02
967,0.9994896,1.0388953,10266,66.07360,103,12,2498,0.01330,2.80280,5.21776,2.84605,2.37171,0.98705,22.76000,12,1.643,02
968,0.9998586,1.0203404,10140,67.31520,103,12,2498,0.00700,2.80981,4.58530,2.05548,2.52982,0.99969,16.27200,12,1.643,02
969,0.9996151,1.0337172,10231,66.42560,120,12,2499,0.01155,2.80957,4.42719,3.47851,0.94868,0.97348,24.59600,12,1.643,02
970,0.9997637,1.0263520,10181,61.88800,127,18,2498,0.00905,2.81106,3.63662,1.58114,2.05548,0.99997,13.59600,12,1.653,02
971,0.9993765,1.0430512,10294,97.47840,114,13,2494,0.01470,2.79880,5.53399,1.89737,3.63662,0.90504,28.84000,12,1.655,02
972,0.9983449,1.0708150,10479,98.05440,138,13,2492,0.02395,2.80244,5.53399,2.84605,2.68794,0.34699,42.92400,12,1.655,23
973,0.9991856,1.0493076,10336,59.14880,101,13,2492,0.01680,2.80653,5.85021,2.21359,3.63662,0.80831,32.11200,12,1.645,02
974,0.9995011,1.0384508,10263,56.40320,112,12,2496,0.01315,2.79985,4.11096,2.84605,1.26491,0.90381,28.89200,12,1.645,00
975,0.9994624,1.0399332,10273,62.75840,130,16,2497,0.01365,2.80752,4.74342,2.21359,2.52982,0.96859,25.07600,12,1.645,02
976,0.9995273,1.0374140,10256,67.88480,112,12,2499,0.01280,2.81490,4.42719,3.95285,0.47434,0.97000,24.94400,12,1.645,02
977,0.9996634,1.0315037,10216,54.73920,111,14,2498,0.01080,2.81004,4.26907,2.52982,1.73925,0.96252,25.60000,12,1.645,00
978,0.9996413,1.0325362,10223,62.23360,111,11,2498,0.01115,2.78276,3.79473,3.00416,0.79057,0.99918,17.61200,12,1.647,02
979,0.9994858,1.0390435,10267,62.18240,125,14,2496,0.01335,2.80353,4.26907,2.21359,2.05548,0.98468,23.16400,12,1.647,02
980,0.9996117,1.0338649,10232,52.65920,115,13,2498,0.01160,2.81448,3.95285,2.37171,1.58114,0.99551,20.49600,12,1.647,00
981,0.9993421,1.0442408,10302,63.69280,112,14,2497,0.01510,2.81536,4.42719,3.32039,1.10680,0.97375,24.56800,12,1.649,02
982,0.9995048,1.0383026,10262,60.44800,114,13,2498,0.01310,2.80672,4.11096,2.05548,2.05548,0.99870,18.32800,12,1.648,02
983,0.9992381,1.0476664,10325,70.71360,120,15,2492,0.01625,2.80117,4.90153,2.21359,2.68794,0.91371,28.46000,12,1.647,02
984,0.9992613,1.0469210,10320,95.15520,116,19,2496,0.01600,2.79635,4.26907,1.58114,2.68794,0.94439,26.86400,12,1.645,02
985,0.9995309,1.0372659,10255,61.08160,107,12,2499,0.01275,2.80699,4.26907,2.68794,1.58114,0.97176,24.77200,12,1.645,02
986,0.9998525,1.0207795,10143,57.75360,123,12,2499,0.00715,2.81586,3.95285,3.95285,0.00000,0.99861,18.43600,12,1.645,02
987,0.9997841,1.0251770,10173,67.63520,109,12,2498,0.00865,2.81194,4.11096,3.63662,0.47434,0.99268,21.48400,12,1.646,02
988,0.9991464,1.0505024,10344,83.07200,131,14,2497,0.01720,2.81244,4.90153,1.89737,3.00416,0.97420,24.52000,12,1.646,02
989,0.9991808,1.0494569,10337,94.38080,107,15,2497,0.01685,2.79920,3.32039,2.52982,0.79057,0.96217,25.62800,12,1.648,02
990,0.9995670,1.0357862,10245,45.03680,131,14,2498,0.01225,2.80558,4.90153,2.37171,2.52982,0.98869,22.44400,12,1.648,00
991,0.9995776,1.0353426,10242,69.82400,130,13,2499,0.01210,2.80853,3.47851,2.84605,0.63246,0.99676,19.88000,12,1.650,02
992,0.9991710,1.0497556,10339,88.24960,118,15,2496,0.01695,2.79641,6.48267,1.73925,4.74342,0.90774,28.72400,12,1.651,02
993,0.9992192,1.0482630,10329,77.06880,134,11,2497,0.01645,2.80671,4.74342,2.37171,2.37171,0.90475,28.85200,12,1.652,02
994,0.9995124,1.0380063,10260,84.98560,116,13,2498,0.01300,2.81119,4.74342,2.52982,2.21359,0.96474,25.41600,12,1.652,02
995,0.9995741,1.0354905,10243,86.29760,98,14,2497,0.01215,2.80086,4.42719,3.95285,0.47434,0.98026,23.80400,12,1.653,02
996,0.9994624,1.0399332,10273,88.69760,122,12,2498,0.01365,2.80099,4.26907,2.84605,1.42302,0.98361,23.33200,12,1.651,02
997,0.9996879,1.0303245,10208,54.96320,122,13,2499,0.01040,2.81865,3.95285,3.47851,0.47434,0.99044,22.06400,12,1.651,00
998,0.9997396,1.0276750,10190,64.58240,121,13,2499,0.00950,2.80596,4.42719,2.52982,1.89737,0.93061,27.64000,12,1.653,02
999,0.9992097,1.0485614,10331,51.36640,134,14,2499,0.01655,2.81472,6.32456,2.84605,3.47851,0.64754,36.07600,12,1.653,00
1000,0.9994182,1.0415656,10284,75.53280,131,13,2495,0.01420,2.80290,4.74342,2.21359,2.52982,0.97846,24.03200,12,1.643,02
1001,0.9991563,1.0502036,10342,73.21600,126,13,2498,0.01710,2.79990,5.85021,3.16228,2.68794,0.69863,34.90400,12,1.643,02
1002,0.9996117,1.0338649,10232,47.94880,145,15,2497,0.01160,2.81360,4.90153,2.68794,2.21359,0.98879,22.42400,12,1.653,00
1003,0.9998441,1.0213650,10147,38.68800,121,12,2498,0.00735,2.80756,3.16228,3.00416,0.15811,0.99279,21.45200,12,1.663,00
1004,0.9992567,1.0470701,10321,69.42720,118,12,2497,0.01605,2.80231,5.53399,1.89737,3.63662,0.95206,26.37200,12,1.664,02
1005,0.9994141,1.0417141,10285,71.58400,120,14,2496,0.01425,2.82195,3.79473,3.16228,0.63246,0.99773,19.25200,12,1.663,02
1006,0.9992705,1.0466230,10318,92.30720,132,11,2498,0.01590,2.81683,4.74342,1.26491,3.47851,0.98851,22.48000,12,1.673,02
1007,0.9988110,1.0597957,10406,75.36640,130,13,2496,0.02030,2.81161,5.85021,1.73925,4.11096,0.63667,36.32000,12,1.673,23
1008,0.9993807,1.0429026,10293,82.69440,121,12,2498,0.01465,2.80895,3.79473,2.84605,0.94868,0.96953,24.98800,12,1.683,02
1009,0.9992192,1.0482630,10329,52.77440,128,17,2497,0.01645,2.80433,5.05964,3.32039,1.73925,0.90494,28.84400,12,1.684,00
1010,0.9992145,1.0484122,10330,63.38560,135,13,2498,0.01650,2.81255,4.11096,2.37171,1.73925,0.98233,23.52000,12,1.682,02
1011,0.9990337,1.0537932,10366,92.62720,124,17,2495,0.01830,2.81206,5.05964,2.05548,3.00416,0.77815,32.93600,12,1.681,23
1012,0.9982610,1.0726345,10491,94.34240,148,13,2494,0.02455,2.81582,5.69210,2.52982,3.16228,0.21166,46.86000,12,1.683,23
1013,0.9986909,1.0628063,10426,83.09760,117,13,2495,0.02130,2.80323,6.64078,2.52982,4.11096,0.63703,36.31200,12,1.693,23
1014,0.9992659,1.0467720,10319,81.64480,127,13,2498,0.01595,2.80670,4.74342,1.73925,3.00416,0.98382,23.30000,12,1.694,02
1015,0.9991513,1.0503530,10343,87.11040,126,17,2498,0.01715,2.80591,4.58530,1.26491,3.32039,0.97668,24.24400,12,1.704,02
1016,0.9991314,1.0509507,10347,56.74880,117,15,2497,0.01735,2.80697,3.79473,1.58114,2.21359,0.97192,24.75600,12,1.704,21
1017,0.9979966,1.0781067,10527,112.32000,95,12,2492,0.02635,2.80788,4.26907,1.10680,3.16228,0.50123,39.30800,12,1.703,23
1018,0.9983380,1.0709665,10480,91.27680,106,18,2491,0.02400,2.80317,5.21776,2.52982,2.68794,0.31732,43.69600,12,1.702,23
1019,0.9986287,1.0643140,10436,111.59680,104,13,2495,0.02180,2.80553,4.74342,2.37171,2.37171,0.54203,38.40800,12,1.701,23
1020,0.9981238,1.0755200,10510,101.96480,109,14,2489,0.02550,2.80567,6.16644,2.37171,3.79473,0.18807,47.70400,12,1.699,23
1021,0.9991563,1.0502036,10342,74.34240,118,13,2495,0.01710,2.80841,5.37587,1.58114,3.79473,0.97623,24.29600,12,1.701,02
1022,0.9986600,1.0635599,10431,111.15520,135,15,2496,0.02155,2.79624,5.05964,2.52982,2.52982,0.43010,40.91600,12,1.699,23
1023,0.9988802,1.0579923,10394,74.90560,120,14,2494,0.01970,2.80585,4.90153,1.89737,3.00416,0.72880,34.18400,12,1.701,23
1024,0.9985458,1.0662763,10449,92.45440,104,12,2489,0.02245,2.81769,5.53399,3.00416,2.52982,0.23408,46.11600,12,1.702,23
1025,0.9970361,1.0955737,10641,122.32320,127,15,2489,0.03205,2.81496,6.16644,1.26491,4.90153,0.03749,57.28400,12,1.712,23
1026,0.9985001,1.0673341,10456,100.83840,116,13,2497,0.02280,2.79966,6.48267,2.52982,3.95285,0.37703,42.17600,12,1.711,23
1027,0.9982110,1.0736969,10498,114.27200,107,16,2495,0.02490,2.80554,4.90153,2.05548,2.84605,0.37965,42.11200,12,1.711,23
1028,0.9983793,1.0700575,10474,105.60640,112,12,2495,0.02370,2.82056,5.53399,1.42302,4.11096,0.58210,37.52800,12,1.713,23
1029,0.9985263,1.0667295,10452,83.78240,116,16,2494,0.02260,2.79536,5.21776,2.68794,2.52982,0.56170,37.97600,12,1.714,23
1030,0.9987696,1.0608487,10413,78.93120,120,13,2497,0.02065,2.80140,3.95285,0.79057,3.16228,0.91823,28.25200,12,1.714,23
1031,0.9980194,1.0776499,10524,136.07680,120,13,2493,0.02620,2.79454,5.53399,2.05548,3.47851,0.34151,43.06400,12,1.713,23
1032,0.9975060,1.0874268,10588,108.64640,121,13,2490,0.02940,2.81208,6.32456,0.79057,5.53399,0.17148,48.34400,12,1.713,23
1033,0.9977459,1.0829884,10559,103.55840,150,12,2492,0.02795,2.80246,6.95701,1.58114,5.37587,0.13550,49.90800,12,1.713,23
1034,0.9985001,1.0673341,10456,121.61280,117,11,2494,0.02280,2.80524,5.21776,0.94868,4.26907,0.69248,35.04800,12,1.713,23
1035,0.9983725,1.0702090,10475,87.87840,119,15,2498,0.02375,2.81282,4.74342,1.26491,3.47851,0.67571,35.43600,12,1.714,23
1036,0.9979737,1.0785637,10530,113.20960,135,12,2493,0.02650,2.80349,6.64078,2.21359,4.42719,0.26891,45.04800,12,1.704,23
1037,0.9985907,1.0652193,10442,95.86560,124,13,2495,0.02210,2.81413,5.05964,1.58114,3.47851,0.54931,38.24800,12,1.694,23
1038,0.9983861,1.0699061,10473,104.46720,121,13,2491,0.02365,2.80986,6.64078,1.26491,5.37587,0.61312,36.84400,12,1.695,23
1039,0.9987874,1.0603973,10410,88.68480,118,14,2495,0.02050,2.80899,4.90153,0.63246,4.26907,0.88691,29.56800,12,1.685,23
1040,0.9989252,1.0567913,10386,88.50560,118,14,2497,0.01930,2.80735,5.21776,2.21359,3.00416,0.76153,33.36800,12,1.684,23
1041,0.9979584,1.0788684,10532,131.29600,114,17,2494,0.02660,2.80344,6.16644,1.26491,4.90153,0.17208,48.32000,12,1.694,23
1042,0.9982892,1.0720277,10487,94.39360,113,11,2492,0.02435,2.81110,4.74342,1.10680,3.63662,0.62214,36.64400,12,1.696,23
1043,0.9982892,1.0720277,10487,104.95360,123,11,2495,0.02435,2.80802,5.53399,0.31623,5.21776,0.69710,34.94000,12,1.697,23
1044,0.9972717,1.0915713,10615,113.81760,129,12,2486,0.03075,2.79425,5.53399,1.10680,4.42719,0.08666,52.66000,12,1.696,23
1045,0.9989419,1.0563412,10383,76.12800,120,15,2494,0.01915,2.79037,4.26907,2.68794,1.58114,0.82286,31.69200,12,1.694,23
1046,0.9989308,1.0566412,10385,67.04640,125,14,2496,0.01925,2.79253,5.05964,3.16228,1.89737,0.78937,32.63600,12,1.696,23
1047,0.9981164,1.0756720,10511,116.80640,102,12,2494,0.02555,2.80971,5.69210,1.42302,4.26907,0.47542,39.88400,12,1.694,23
1048,0.9982397,1.0730897,10494,101.77280,130,12,2497,0.02470,2.79971,5.69210,2.05548,3.63662,0.28078,44.70400,12,1.694,23
1049,0.9985651,1.0658232,10446,75.37280,114,13,2495,0.02230,2.79974,5.21776,1.26491,3.95285,0.68109,35.31200,12,1.696,23
1050,0.9985458,1.0662763,10449,76.55040,136,13,2492,0.02245,2.81089,5.05964,3.47851,1.58114,0.49583,39.42800,12,1.697,23
1051,0.9979584,1.0788684,10532,109.60000,147,11,2489,0.02660,2.80193,5.05964,0.79057,4.26907,0.30485,44.03200,12,1.697,23
1052,0.9986161,1.0646157,10438,92.45440,129,18,2496,0.02190,2.80101,4.42719,0.79057,3.63662,0.91729,28.29600,12,1.697,23
1053,0.9980118,1.0778022,10525,116.61440,110,12,2492,0.02625,2.81137,6.16644,0.47434,5.69210,0.26095,45.28400,12,1.696,23
1054,0.9979199,1.0796305,10537,132.12160,102,11,2491,0.02685,2.80813,5.69210,1.26491,4.42719,0.29598,44.27600,12,1.695,23
1055,0.9990442,1.0534937,10364,51.53920,129,13,2497,0.01820,2.80913,5.21776,2.68794,2.52982,0.64452,36.14400,12,1.694,21
1056,0.9990651,1.0528949,10360,73.86240,114,18,2497,0.01800,2.81130,5.05964,2.37171,2.68794,0.89632,29.20000,12,1.695,23
1057,0.9984133,1.0693005,10469,116.07680,121,11,2494,0.02345,2.80845,5.85021,3.16228,2.68794,0.12164,50.59600,12,1.695,23
1058,0.9978020,1.0819191,10552,141.88160,135,15,2494,0.02760,2.80321,5.53399,1.26491,4.26907,0.19480,47.45600,12,1.705,23
1059,0.9981385,1.0752160,10508,111.87840,116,14,2490,0.02540,2.80863,5.85021,1.26491,4.58530,0.28640,44.54400,12,1.715,23
1060,0.9968387,1.0988145,10662,136.20480,115,14,2487,0.03310,2.81218,6.79890,0.79057,6.00833,0.03162,58.16000,12,1.725,23
1061,0.9980344,1.0773454,10522,113.36960,123,12,2491,0.02610,2.80765,5.69210,2.37171,3.32039,0.20830,46.97600,12,1.725,23
1062,0.9977701,1.0825301,10556,113.07520,112,14,2493,0.02780,2.80573,5.53399,2.05548,3.47851,0.06979,53.91200,12,1.724,23
1063,0.9976973,1.0839056,10565,90.48320,137,15,2492,0.02825,2.79759,7.11512,1.10680,6.00833,0.12955,50.19600,12,1.725,23
1064,0.9976067,1.0855886,10576,114.22720,122,15,2487,0.02880,2.80758,6.95701,1.73925,5.21776,0.08508,52.76800,12,1.724,23
1065,0.9966251,1.1022175,10684,142.06080,122,12,2486,0.03420,2.80184,6.48267,0.94868,5.53399,0.00956,63.89600,12,1.724,23
1066,0.9971642,1.0934172,10627,131.66080,138,14,2485,0.03135,2.81661,5.37587,1.58114,3.79473,0.06136,54.63600,12,1.725,23
1067,0.9972539,1.0918788,10617,147.99360,125,13,2491,0.03085,2.80414,5.53399,1.42302,4.11096,0.06544,54.27600,12,1.726,23
1068,0.9966448,1.1019078,10682,134.44480,131,14,2486,0.03410,2.81421,4.90153,1.42302,3.47851,0.01870,60.76000,12,1.727,23
1069,0.9983861,1.0699061,10473,84.55680,117,13,2492,0.02365,2.81455,6.00833,2.05548,3.95285,0.46901,40.02800,12,1.727,23
1070,0.9974377,1.0886536,10596,123.52000,138,13,2488,0.02980,2.80067,6.00833,1.26491,4.74342,0.14846,49.31200,12,1.727,23
1071,0.9977298,1.0832941,10561,126.78400,137,19,2491,0.02805,2.79890,5.21776,2.37171,2.84605,0.08989,52.44400,12,1.726,23
1072,0.9971279,1.0940330,10631,152.78080,121,15,2490,0.03155,2.80347,5.69210,0.94868,4.74342,0.06838,54.02800,12,1.726,23
1073,0.9983449,1.0708150,10479,91.05280,133,12,2496,0.02395,2.80768,5.21776,2.52982,2.68794,0.27342,44.91600,12,1.725,23
1074,0.9981090,1.0758241,10512,129.74080,120,14,2493,0.02560,2.79526,5.05964,1.42302,3.63662,0.31403,43.78400,12,1.724,23
1075,0.9946152,1.1303654,10864,208.42880,124,14,2479,0.04320,2.80455,5.53399,1.10680,4.42719,0.00003,86.32000,12,1.722,23
1076,0.9977459,1.0829884,10559,138.02880,117,14,2493,0.02795,2.81024,6.16644,2.05548,4.11096,0.07564,53.45200,12,1.722,23
1077,0.9976646,1.0845173,10569,127.53280,138,12,2494,0.02845,2.80694,4.90153,0.94868,3.95285,0.24215,45.86000,12,1.724,23
1078,0.9980042,1.0779544,10526,109.79200,130,14,2491,0.02630,2.80735,5.69210,0.63246,5.05964,0.22268,46.48800,12,1.725,23
1079,0.9979966,1.0781067,10527,105.85600,136,12,2491,0.02635,2.80691,5.85021,1.42302,4.42719,0.31927,43.64400,12,1.724,23
1080,0.9972002,1.0928017,10623,151.11040,111,12,2496,0.03115,2.81434,7.11512,1.58114,5.53399,0.00706,65.25200,12,1.723,23
1081,0.9981822,1.0743043,10502,131.46880,121,11,2492,0.02510,2.81360,5.85021,0.47434,5.37587,0.69624,34.96000,12,1.713,23
1082,0.9982822,1.0721794,10488,116.55680,115,14,2492,0.02440,2.81978,6.79890,1.26491,5.53399,0.23973,45.93600,12,1.713,23
1083,0.9980420,1.0771932,10521,128.99840,118,13,2490,0.02605,2.80552,5.21776,0.63246,4.58530,0.37490,42.22800,12,1.723,23
1084,0.9982962,1.0718761,10486,113.84320,117,13,2494,0.02430,2.80531,5.05964,1.89737,3.16228,0.42200,41.10400,12,1.724,23
1085,0.9977620,1.0826828,10557,109.66400,130,14,2489,0.02785,2.81481,5.53399,0.63246,4.90153,0.29167,44.39600,12,1.722,23
1086,0.9964553,1.1048525,10701,157.19680,103,14,2486,0.03505,2.80909,7.43135,-0.15811,7.58947,0.00657,65.57200,12,1.720,23
1087,0.9965157,1.1039219,10695,147.66720,125,13,2485,0.03475,2.79963,6.79890,1.89737,4.90153,0.00282,69.19600,12,1.720,23
1088,0.9980194,1.0776499,10524,124.86400,106,14,2489,0.02620,2.81682,6.48267,2.84605,3.63662,0.14331,49.54400,12,1.719,23
